vehicle_type_id,model_year,make,model,ev_type
vm0001,1999,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0002,2000,FORD,RANGER,Battery Electric Vehicle (BEV)
vm0003,2002,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0004,2003,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0005,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0006,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0007,2010,WHEEGO ELECTRIC CARS,WHEEGO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0008,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,Battery Electric Vehicle (BEV)
vm0009,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0010,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0011,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0012,2011,TH!NK,CITY,Battery Electric Vehicle (BEV)
vm0013,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0014,2012,FISKER,KARMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0015,2012,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0016,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV)
vm0017,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0018,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0019,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0020,2012,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0021,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0022,2013,FIAT,500,Battery Electric Vehicle (BEV)
vm0023,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0024,2013,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0025,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0026,2013,HONDA,CR-V,Battery Electric Vehicle (BEV)
vm0027,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0028,2013,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV)
vm0029,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0030,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0031,2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0032,2014,BMW,I3,Battery Electric Vehicle (BEV)
vm0033,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0034,2014,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
vm0035,2014,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0036,2014,CHEVROLET,SPARK,Battery Electric Vehicle (BEV)
vm0037,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0038,2014,FIAT,500,Battery Electric Vehicle (BEV)
vm0039,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0040,2014,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0041,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0042,2014,HONDA,ACCORD,Plug-in Hybrid Electric Vehicle (PHEV)
vm0043,2014,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV)
vm0044,2014,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV)
vm0045,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0046,2014,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0047,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV)
vm0048,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0049,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0050,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV)
vm0051,2015,BMW,I3,Battery Electric Vehicle (BEV)
vm0052,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0053,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
vm0054,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV)
vm0055,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0056,2015,FIAT,500,Battery Electric Vehicle (BEV)
vm0057,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0058,2015,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0059,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0060,2015,KIA,SOUL,Battery Electric Vehicle (BEV)
vm0061,2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV)
vm0062,2015,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0063,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0064,2015,PORSCHE,918,Plug-in Hybrid Electric Vehicle (PHEV)
vm0065,2015,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0066,2015,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0067,2015,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV)
vm0068,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0069,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0070,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV)
vm0071,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0072,2016,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0073,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0074,2016,BMW,I3,Battery Electric Vehicle (BEV)
vm0075,2016,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
vm0076,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0077,2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0078,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV)
vm0079,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0080,2016,FIAT,500,Battery Electric Vehicle (BEV)
vm0081,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0082,2016,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0083,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0084,2016,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0085,2016,KIA,SOUL,Battery Electric Vehicle (BEV)
vm0086,2016,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV)
vm0087,2016,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0088,2016,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0089,2016,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0090,2016,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV)
vm0091,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0092,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0093,2016,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0094,2016,SMART,FORTWO,Battery Electric Vehicle (BEV)
vm0095,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0096,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0097,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV)
vm0098,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0099,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0100,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0101,2017,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0102,2017,BMW,I3,Battery Electric Vehicle (BEV)
vm0103,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0104,2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
vm0105,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0106,2017,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV)
vm0107,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0108,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0109,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0110,2017,FIAT,500,Battery Electric Vehicle (BEV)
vm0111,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0112,2017,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0113,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0114,2017,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV)
vm0115,2017,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0116,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0117,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV)
vm0118,2017,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV)
vm0119,2017,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0120,2017,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0121,2017,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0122,2017,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV)
vm0123,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0124,2017,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0125,2017,SMART,FORTWO,Battery Electric Vehicle (BEV)
vm0126,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0127,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0128,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0129,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0130,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV)
vm0131,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0132,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0133,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0134,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0135,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0136,2018,BMW,I3,Battery Electric Vehicle (BEV)
vm0137,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0138,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0139,2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV)
vm0140,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV)
vm0141,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0142,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0143,2018,FIAT,500,Battery Electric Vehicle (BEV)
vm0144,2018,FORD,FOCUS,Battery Electric Vehicle (BEV)
vm0145,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV)
vm0146,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV)
vm0147,2018,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV)
vm0148,2018,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV)
vm0149,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0150,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0151,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV)
vm0152,2018,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0153,2018,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0154,2018,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0155,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0156,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0157,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0158,2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0159,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV)
vm0160,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV)
vm0161,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0162,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0163,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0164,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0165,2018,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV)
vm0166,2018,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0167,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0168,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0169,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV)
vm0170,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0171,2019,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV)
vm0172,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV)
vm0173,2019,BMW,I3,Battery Electric Vehicle (BEV)
vm0174,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV)
